EMPRESA;BANCO;OP;MONTO cuota Leasing;BIEN;PPU;CODIGO INT;PROVEEDOR;cuotas;cuotas pagadas;cuotas x pagar;ESTADO LEASSING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;SANTANDER;615929; $7.803.497 ;POWER SCREEM (LEASEBAK);;;;37;4;33;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecma;Santander;616406; $778.227 ;SEMIREMOLQUE CAMA BAJA MARCA VICFER;PXKW52;;;37;0;37;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;Santander;616365; $890.980 ;CAMIONETA MAXUS CS ;VPPL47;C54;AUTOMOTRIZ TECNOSUR LTDA;37;2;35;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;116620;$7.245.315;BULLDOZER JD 850J;KSRG.22-7;BD03;ARRENDADORA DE VEHICULOS S.A.;49;37;12;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;116620;;EXCAVADORA JD 350;JJLH67-6;EX12;ARRENDADORA DE VEHICULOS S.A.;49;37;12;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;121751; $2.306.565 ;CAMION, MARCA IVECO, MODELO TECTOR 24-300 AZ 6X2 -LITERA, CARROCERIA CHASIS CABINA, AÑO 2023, NUEVO Y SIN USO;SXBK-30;CP08;COM  MOTORES  DE LOS ANDES;37;30;7;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;122566;$3.925.265;CARGADOR FRONTAL JOHN DEERE MOD 624K AÑO 2020 ;PPFG75;CT06;SALFA;37;29;8;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;131584;$4.778.590;IMPRIMADOR;;;ASPHALT CHILE;38;17;21;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;132077;$1.045.501;FURGON MARCA PEUGEOT MODELO PARTNER MCA L2 BLU;TSXT79;C51;AUTOMOTRIZ TECNOSUR LTDA;25;15;10;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BCI;134194; $2.326.888 ;RODILLO HAMM;RSRK53;RC02;SALINAS Y FABRES;37;13;24;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BK;18800; $15.026.574 ;CAMION IVECO TRAKKER 410;VJGH99;CT35;PILMAIQUEN;49;3;46;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BK;18800; $15.026.574 ;CAMION IVECO TRAKKER 410;VJGJ11;CT36;PILMAIQUEN;49;3;46;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BK;18800; $15.026.574 ;CAMION IVECO TRAKKER 500;VJGJ10;CT37;PILMAIQUEN;49;3;46;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BK;18800; $15.026.574 ;CAMION IVECO TRAKKER 500;VJGJ12;CT38;PILMAIQUEN;49;3;46;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECMA;BICE;37596; $1.900.607 ;EXCAVADORA JD 350 ;RYHV75;;ARRENDADORA DE VEHICULOS S.A.;38;3;36;VIGENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
